input_text,encouragement_text
今働いてるバイト先が親会社のせいでめっちゃシフト減らされて。, いいときが楽しいのは当たり前。
私は結婚したいと思ってるのですが先が不安でして。, 愛の孤独を知ったがゆえに愛は研ぎ澄まされ真実の孤独を知るのである。
彼が冷たくなった原因はなんでしょうか。, 我々の最大の競争相手は同業他社ではない。お客の心である。
わたしもどちらかと彼と同じタイプなのでうまくいかないです笑。, 私は無我夢中という言葉がとても好きなのです。
迷惑ではないですかね。, 僕たちの姿が少しでもファンのみなさんの心に残れば嬉しいです。
不安が多いです。, どうせ一生なら人間自分が信じつづけて来たものをこの眼で確かめたい。大事に生きて明日にかけたい。
避けてしまうくせがあります。, 何かを成し遂げようとするよりも徹底的に楽しんでやるという人生最大の目標を持ちましょう。
彼の現状は良くわからないです。。,人間各々一様に耳目鼻口を具備する動物だ。この間に一頭地を擢かんとするは大概の事で
人だと気まずいという気持ちはありませんか。, 人生は短い。だからこそ時間を有意義に使いたい。
だけど流石にむかつきます。, 何事も修行と思ひする人は身の苦しみは消えはつるなり。
身動きがとれなくてどうしたらいいのか傷つくばかりでもう疲れてしまいました。。,本当にやりたそうにしてる人に仕事を振ればいいんですよ。
長期で休むなら休むって会社にいったら大丈夫なのにそれさえ出来ない。,今日できることを明日に延ばすな。今日それを片付け
読むのは大丈夫だけど書くことがとても苦手。は。, 私は今こう考えています。
謝ってもわたしからはもう付き合えない気がします。今はですけどね。, 何を言ってるんですか肉をもっと食え。
はい。待つこと出来てなかったかも。, 努力は報われるとは限らない。でも報われない努力もある。でも努力しなければただの努力。
この先。事務が良いか販売が良いのか分からなくなってきて。, 心もおなじような行いもいっさいせずただうなずいてうなじられて生きている。
それに好きな人ともお互い学校が違い会えなくなってしまっています。, 自分の人生を楽しまなきゃ。
戻りたいのになんでとなったんでしょう。, 自分の心に描く夢の実現に向かって努力するとき普段なら思いもよらぬ成功が得られる。
しかもあの人はモテるし。, いい女になるのだな。
破綻になりそうですか。, 人間は適切に勇気づけられればこころのなかの生命力をよみがえらせて過酷な体験を乗り越えていく力も持っている。
このままスルーされて消えてしまったらどうしよう。怖いです。, 仕事が忙しいから時間を作れないとはよく言われます。
昨日いてもたってもいられなくて。, 私が生きられる場はここなのだ!なぜならば私はそのために生まれて来たのだしそのために生きてきたんですもの。
訴えるとかじゃなく話を了承してないですみたいな。, 人間の苦痛という奴だけは量るわけには参りません。苦痛こそはまさに絶対。
将来的にお金に困ったりする。,結婚とは一時的の過渡状態を不断の務めとなし発作的の愛を永久にする証書のようなものである。
なのにたまに普通に話してしまうことがあり混乱して自己嫌悪に。, 幸福とは何かという問いかけには答える気にならない。
結局私の心は前の彼に戻ってしまいました。, 自分が無力だと考えないかぎり人は誰も無力ではない。
最近は会えてないです。, やっちゃーいけないことは破るべきためにある。
