input_text,encouragement_text
今働いてるバイト先が親会社のせいでめっちゃシフト減らされて。, 自分の人生を否定するのは自分の魂を傷つける行為。
私は結婚したいと思ってるのですが先が不安でして。, 成功者は決断を即時に行える習慣を持っているものだ。
彼が冷たくなった原因はなんでしょうか。, 人に認められたいなんて思わないで己を貫くんだね。でなきゃ自分を賭けてやっていくことを見つけることは出来ないんだ。
わたしもどちらかと彼と同じタイプなのでうまくいかないです笑。, 物事がスムーズに運ぶ時より悪い時のほうが私はうまく機能する。
迷惑ではないですかね。, 自分の中のいらない常識を崩してあげると新しい働き方が見えてくるのでは。
不安が多いです。, 私は18歳の時行くところがなくて文学座に入ったの。
避けてしまうくせがあります。, 自分で自分を決めつけないことです。
彼の現状は良くわからないです。。, 私は明白な不正を隠れた不正ほどには憎まず戦争の不正を平和の不正ほどにまで憎まない。
人だと気まずいという気持ちはありませんか。, 私は甦りであり命である。
だけど流石にむかつきます。, 人は自分自身の道理で己れを説き伏せることはできても相手の道理でしか相手を説き曲げられない。
身動きがとれなくてどうしたらいいのか傷つくばかりでもう疲れてしまいました。。, 人間は二つの力によって動かされている。一つは快適さの追求もう一つは苦痛の回避である。
長期で休むなら休むって会社にいったら大丈夫なのにそれさえ出来ない。, 本当に必要なのは居場所じゃない。必要なのは自分の存在を許してくれる人間だ。
読むのは大丈夫だけど書くことがとても苦手。は。, 成功する大家というのは全部の成功した部屋をくまなく見てます。
謝ってもわたしからはもう付き合えない気がします。今はですけどね。, 人生とは素晴らしく興味の多いところです。
はい。待つこと出来てなかったかも。, 新しいものに出合いそれを改革につなげる――。
この先。事務が良いか販売が良いのか分からなくなってきて。, すべてを疑うかすべてを信じるかは二つとも都合の良い解決法である。どちらでも我々は反省しないで済むからである。
それに好きな人ともお互い学校が違い会えなくなってしまっています。, 僕はあくまで視聴者の代表。
戻りたいのになんでとなったんでしょう。, 人生で不幸なこと自分らしく生きられないこと人生で幸福なこと人らしく生きること。
しかもあの人はモテるし。, 僕は映画のネタ探しはしません。ネタを探すと映画を作りやすいように現実を見てしまいそうで。
破綻になりそうですか。, 人生はゼロから生まれゼロに戻るのだから失敗しても何も損はしない。
このままスルーされて消えてしまったらどうしよう。怖いです。, 夢をかなえる最良の方法は目覚めることである。
